customer_id,category,type,company_name,consignee,branch,trade_name,tin,phone,email,website,franchisee,credit_limit,payment_term,transaction_limit,commision_sharing,shipping_mode,price_type,status,sec_no,sales_executive
0000000001,Corporate,Professional,"Anne Mariquit",,Main,"Anne Mariquit",,"0915 7683593",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000002,Corporate,Professional,"Monette L. Pua",,Main,"Monette L. Pua",,"0917 8888598",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000003,Corporate,Professional,"Grace De Leon",,Main,"Grace De Leon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000004,Corporate,Professional,"Marielle Lagdameo",,Main,"Marielle Lagdameo",,"0927 4513822",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000005,Corporate,Professional,"Ruby Fard",,Main,"Ruby Fard",,"0917 8401559",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000006,Corporate,Professional,"Dennis Santos Salon",,Main,"Dennis Santos Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000007,Corporate,Professional,"Jen Parilla",,Main,"Jen Parilla",,,ilyjhen@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000008,Corporate,Professional,"Jun Chua",,Main,"Jun Chua",,"0939 4151466",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000009,Corporate,Professional,"Veejay Pilapil",,Main,"Veejay Pilapil",,"0917 8081438",veejaypilapil@gmail.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000010,Corporate,Professional,"Reyna S. Evangelista",,Main,"Reyna S. Evangelista",,"0915 2767037",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000011,Corporate,Professional,"Charo Bulaon",,Main,"Charo Bulaon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000012,Corporate,Professional,"Maricar Abad",,Main,"Maricar Abad",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000013,Corporate,Professional,"Caryll Salon",No,Main,"Caryll Salon",,,,N/A,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000014,Corporate,Professional,"Extreme Barber Shop Salon",,Main,"Extreme Barber Shop Salon",,"0917 8513582 / 0920 4100490",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000015,Corporate,Professional,"Nail Harbor",No,Main,"Nail Harbor",,"0920 9545857",maluisa.cueto@yahoo.com,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000016,Corporate,Professional,"Sis Deluxe Spa",,Main,"Sis Deluxe Spa",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000017,Corporate,Professional,"Blissful Salon",,Main,"Blissful Salon",,"0917 8008898",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000018,Corporate,Professional,"Bliss Hand Body Nails Spa",No,Main,"Bliss Hand Body Nails Spa",,"0918 9294480",,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000019,Corporate,Professional,"Blooming Touch Salon",No,Main,"Blooming Touch Salon",,"0917 9871492",,,No,No,COD,,,ideliver101,Professional,Active,---,---
0000000020,Corporate,Professional,"Sheirachel Salon Spa & Barbers",,Main,"Sheirachel Salon Spa & Barbers",,"0917 8829064",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000021,Corporate,Professional,"The Nail Story",,Main,"The Nail Story",,"0905 3911765",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
